class,text
suicide,"Dear World, I am leaving you because I am bored. I feel I have lived long enough. I am leaving you with your worries in this sweet cesspool - good luck."
suicide,I must end it. There's no hope left. I'll be at peace. No one had anything to do with this. My decision totally
suicide,They tried to get me - I got them first!
suicide,"Don't worry, it's not loaded"
suicide,"The feast is over, and the lamps expire"
suicide,Lets see if this will do it
suicide,"Goodbye, my friend, goodbye"
suicide,Goodbye:
suicide,There's nothing new in dying now
suicide,Though living is no newer.
suicide,To my friends: My work is done. Why wait?
suicide,"Goodbye, everybody!"
suicide,"These were the last words of Hart Crane as he jumped off the cruise ship ""Orizaba."" His body was never found"
suicide,Where can I find a gun
suicide,Committed Suicide” vs. “Died by Suicide
suicide,Completed Suicide
suicide,Successful Attempt
suicide,Failed Attempt
suicide,Died by Suicide
suicide,Killed himself
suicide,In which part of my body should I shot myself
suicide,Best part of the body to shot 
anxiety,Anxiety is something everyone feels every once in a while
anxiety,which is why it’s easy to think it’s “no big deal” when someone has an anxiety disorder
anxiety,"But anxiety disorders can be daunting, and for the people who have them, they’re very real."
anxiety,Anxiety keeps me awake at night; it keeps me as a prisoner in my home
anxiety,Anxiety makes me feel like a failure
anxiety,it has taken away my self-worth. Anxiety makes me feel uncomfortable and nervous
anxiety," Anxiety has taken away friends, family, opportunities, my life"
anxiety,Anxiety is like having new tabs opening very quickly [on your computer] one after another and not being able to close them or stop new ones from opening — but in your head
anxiety,"It happens while working, taking care of kids, driving, answering questions, and a million other things that people do in a day."
anxiety,Anxiety is like an adrenaline rush without the actual roller coaster
anxiety,"Heart races, palms sweat, knees get weak"
anxiety,You have all the physical symptoms of a thrill ride but your brain has no actual event to tie the symptoms to
anxiety,It’s like you have no control
anxiety,"it’s feeling constantly uncomfortable in your own skin. It is isolating, lonely, and it’s soul-destroying."
anxiety,My anxiety takes over my body
anxiety,My breathing is irregular
anxiety,my heart is racing despite minimal activity
anxiety,and my muscles are tense unless I consciously relax them
anxiety,My mind doesn’t shut off
anxiety,I think about things that could go wrong
anxiety,"things that went wrong in the past, and things I have absolutely no control over"
anxiety,"Despite having the knowledge that I cannot control everything that happens, I struggle with these consuming symptoms on a daily basis"
anxiety,It’s like not realizing you’ve been holding your breath so you have to constantly remind yourself to breathe
anxiety,Anxiety takes you to a place where you’re outside of your body and cannot determine fantasy from reality
anxiety,"It’s debilitating, scary and downright gut-wrenching"
anxiety,Picture a bunch of people loudly talking to you about everything you don’t want to hear — that’s how it feels in my head
anxiety,"Some days are better than others, but it feels like pure chaos on bad days, and it’s exhausting"
anxiety,Anxiety feels like being the passenger of a race car driver while pleading to be let out. 
anxiety,I close my eyes and take deep breaths at every endless turn.
anxiety,My panic attacks make me feel numb and cold all over
anxiety,"I feel like I’m going crazy, about to die, my heart is beating too fast, and I can’t get air"
anxiety,I often have to get up and go outside to get fresh air
anxiety,It feels like being in fight-or-flight mode.
anxiety,"Never being able to stop overthinking, overanalyzing, over worrying"
anxiety,It lets your thoughts run your life
anxiety,You feel like crying a lot because you have no control
anxiety,Your life is not your own
anxiety,It feels like having absolutely no control of your emotions
anxiety,"Sometimes I feel like I’m watching myself work something up in my head, knowing I’m safe and fine"
anxiety,but not being able to control the panic creeping up my neck or the fear response
anxiety,It’s horrible.
anxiety,Your life is simply like a roller coaster ride
anxiety,"One moment it’s happy and fun, and then in a second whip around the corner,"
anxiety,it’s instantly scary and overwhelming
anxiety,It’s a 24/7 ride
anxiety,"the mind is always going, preparing for the worst, over analyzing things to the point where you learn to expect the worst."
anxiety,"Anxiety consumes your life, especially when it affects someone you love dearly."
anxiety,"Understanding it is truly difficult, but be patient. Reassuring they are loved and not alone is key"
anxiety,I often thought of it as standing in a water tank
anxiety,"Sometimes you’re only in puddles, sometimes it’s knee level but still bearable"
anxiety,but there are days when the water level rises up too high and too fast and you’re struggling to stay afloat and breathe.
anxiety,Anxiety is knowing however much you plan ahead
anxiety,you still expect the worst to happen
anxiety,"Even if it doesn’t, you convince yourself it will next time; it’s a never-ending cycle."
anxiety,It feels like your brain got switched from 40 mph to 140 mph and your body can’t keep up. You can’t breathe or think or run away.
anxiety,Imagine being at the mall with your 3-year-old child but you turn around and they have disappeared
anxiety,Imagine the level of panic you would experience
anxiety,Some days every single thing feels like that.
anxiety,No rhyme or reason — it just does and you can’t turn it off
anxiety,It’s that battle-ready mode where you’re on high alert to literally everything around you
anxiety,"every worry and fear, but there’s a cage you just can’t get through"
anxiety,"You just stand there frozen, mind racing, and your heart feels like it will explode out of your chest"
anxiety,"In truth, it’s indescribable because everything just gets hazy and it’s hard enough just to remember where you are at times, let alone push past it."
anxiety,It’s the ultimate feeling of being alone
anxiety,It’s like walking through a field of land mines with one clear path
anxiety,"but with every step, the path changes and you have no idea when the mines will explode"
anxiety,Every step is uncertain; it makes you second guess everything in your life.
anxiety,That split second before you trip when your breath gets caught up in your throat and you lose all control over what’s happening.
anxiety,"That feeling right there, but it lasts sometimes for days"
anxiety,I feel like I’m being drowned by waves and caught in a rip tide
anxiety,I have to keep treading and swim diagonally towards the shore. You can’t get there directly
anxiety,It’s a knot in your chest that’s always there lurking waiting to creep in and put seeds of doubt and worry into every thought
anxiety,"Like an out-of-control, out-of-body experience"
anxiety,You’re watching yourself and can’t do anything to control it
anxiety,I have recently been struggling with very intense anxiety
anxiety,panic attacks that seemed to have come on all out of a sudden.
anxiety,I always thought I knew what anxiety was and what it was like for people who feel anxious on a regular basis but I was very wrong
anxiety,I am now very aware of what it is like to have anxiety
anxiety,Now that I know the reason for my feelings it is a little easier to try and make sense of however when the anxious feelings and panic attacks started I was terrified
anxiety,I didn’t want to think and yet I couldn’t stop thinking
anxiety,I was scared
anxiety,I was worried
anxiety,i was confused 
anxiety,I felt alone
anxiety,Specifically quotes about anxiety and panics attacks
anxiety,I know what it’s like to be afraid of your own mind
anxiety,I have no idea how not to think
anxiety,It’s really sad how one day I’ll seem to have everything going right then the next day I’ll lose everything so fast
anxiety,Don’t assume I’m weak because I have panic attacks
anxiety,You’ll never know the amount of strength it takes to face the world every day
anxiety,I miss the person I used to be
anxiety,"I have this problem: I isolate myself, then become upset because I’m lonely"
anxiety,"Just because I can’t explain the feelings causing my anxiety, doesn’t make them less valid"
anxiety,The worst feeling in the world is trying to hold back a panic attack in public
anxiety,I am exhausted from trying to be stronger than I feel
anxiety,Sometimes I get anxious because I don’t feel anxious
anxiety,Which means I forgot what I was supposed to feel anxious about in the first place and that gives me anxiety.
anxiety,This is one of the most frustrating things about having an anxiety disorder
anxiety,"Knowing as you’re freaking out that there’s no reason to be freaked out, but lacking the ability to shut the emotion down"
anxiety,"It’s sad, actually, because my anxiety keeps me from enjoying things as much as I should at this age"
anxiety,I don’t think anyone could ever criticize me more severely than the way I viciously criticize myself
anxiety,I get nervous about everything
anxiety,sometimes I literally don’t know why I’m anxious
anxiety,I just am and no-one seems to understand that
anxiety,I don’t think people understand how stressful it is to explain what’s going on in your head when you don’t even understand it yourself
anxiety,No amount of me trying to explain myself was doing any good
anxiety,"I didn't even know what was going on inside of me, so how could I have explained it to them"
anxiety,Do you know that feeling?
anxiety,When everything you do seems like a struggle
anxiety,Where you dont wanna leave the house because you know everyone is judging you
anxiety,The only people that can't handle the truth are those that suffer so much anxiety that they will live in denial
anxiety,Anxiety is the monster that resides within
anxiety,The mind that constantly wanders through the past is always a terrible mess
anxiety,"Just as anxiety can feed on itself, so can courage"
anxiety,You want to be there for me but an anxiety attack is a solitary activity
anxiety,"According to studies, empathic children are more susceptible to developing problems such as anxiety and depression in later life, especially if they experience emotionally turbulent upbringings"
anxiety,2Mg Xanax is an anti-anxiety pill this is the first choice of medication for many medicos
anxiety,You feeling scared?
anxiety,I hated hurting her
anxiety,I hated making her feel helpless.
anxiety,I hated it
anxiety,She was running her fingers through my hair
anxiety,Anxiety disorders cannot be summed up in a cute Facebook comic.
anxiety,I know it's irrational
anxiety,Well anxiety is stupid
anxiety,I did not just say people with anxiety are stupid
anxiety,I mean that anxiety itself is stupid
anxiety,Because anxiety doesn't know what anything is
anxiety,It will try to convince you that things that are totally fine are worthy of dread
anxiety,Anxiety is the dizziness of freedom
anxiety,Anxiety is love's greatest killer
anxiety,It makes others feel as you might when a drowning man holds on to you
anxiety,"You want to save him, but you know he will strangle you with his panic"
anxiety,"After all, what is happiness?"
anxiety,"On the contrary, it's a constant state of anxiety, a battlefield"
anxiety,it's sleepless nights
anxiety,Real love is composed of ecstasy and agony
anxiety,"always makes one anxious, because it means that if the only hope doesn't work"
anxiety,there is nothing left
anxiety,"If you want to conquer the anxiety of life, live in the moment, live in the breath"
anxiety,It did what all ads are supposed to do: create an anxiety relievable by purchase
anxiety,"The more you pray, the less you'll panic"
anxiety,"Our anxiety does not empty tomorrow of its sorrows, but only empties today of its strengths"
anxiety,Man is not worried by real problems so much as by his imagined anxieties about real problems
anxiety,To venture causes anxiety
anxiety,You are crazy
anxiety,difficulties fill you with anxiety
anxiety,Anxiety's like a rocking chair
anxiety,"It gives you something to do, but it doesn't get you very far"
anxiety,It’s OKAY to be scared
anxiety,Anxiety was born in the very same moment as mankind
anxiety,It was that sort of sleep in which you wake every hour
anxiety,and think to yourself that you have not been sleeping at all
anxiety,In an era of stress and anxiety
anxiety,Chronic anxiety is a state more undesirable than any other
anxiety,How can a person deal with anxiety?
anxiety,I promise you nothing is as chaotic as it seems
anxiety,Nothing is worth diminishing your health.
anxiety,Mental health
anxiety,"Nothing is worth poisoning yourself into stress, anxiety, and fear"
anxiety,Anxiety is a feeling grown too large. 
anxiety,But...you're not responsible for causing it
anxiety,You're not morally at fault for it
anxiety,Temperamentally anxious people can have a hard time staying motivated
anxiety,their intense focus on their worries distracts them from their goals
anxiety,Some people feel guilty about their anxieties and regard them as a defect of faith
anxiety,The largest part of what we call 'personality' is determined by how we've opted to defend ourselves against anxiety and sadness
anxiety,"I met a boy whose eyes showed me that the past, present and future were all the same thing"
anxiety,I've wasted a lot of time in my life
anxiety,Extreme orgasm anxiety forms the basis of the general fear of life
anxiety,"Our anxiety does not come from thinking about the future, but from wanting to control it."
anxiety,"I thought too much, lived too much in the mind. It was hard to make decisions."
anxiety,I wouldn't call it anxiety so much as dying without dying.
anxiety,"People with anxiety always feel alone in their own head, and also hate to feel like a burden to others."
anxiety,Forget about what you are escaping from. Reserve your anxiety for what you are escaping to.
anxiety,"Calm down, heart. Please."
anxiety,"Love looks forward, hate looks back, anxiety has eyes all over its head."
anxiety,My memories have turned into anxieties.
anxiety,"I mean, I have the feeling that something in my mind is poisoning everything else."
anxiety,We don’t have to morph into something disingenuous for the sake of appeasing others.
anxiety,It’s a toxic cycle: Your thoughts become your worries and your worries become your thoughts.
anxiety,"I feel like I’m underwater, weighed down, helpless."
anxiety,"Dear friend, You are not a freak. You are wanted. You are necessary. You are the only you there is. Don’t be afraid to leave the castle. It’s a great big world out there."
anxiety,"My mind turned by anxiety, or other cause, from its scrutiny of blank paper, is like a lost child–wandering the house, sitting on the bottom step to cry."
anxiety,"But I can hardly sit still. I keep fidgeting, crossing one leg and then the other. I feel like I could throw off sparks, or break a window — maybe rearrange all the furniture."
anxiety,"If you are depressed, you are living in the past. If you are anxious, you are living in the future. If you are at peace, you are living in the present."
anxiety,"You have dug your soul out of the dark, you have fought to be here; do not go back to what buried you."
anxiety,"I think and think and think. I‘ve thought myself out of happiness one million times, but never once into it."
anxiety,"but what am I supposed to do if this fear, and not my heart, is beating in my body?"
anxiety,Those who are extremely anxious wear themselves out and become in a sense their own executioners.
anxiety,"Ever been in a spelling bee as a kid? That snowy second after the announcement of the word as you sift your brain to see if you can spell it? It was like that, the blank panic."
anxiety,"Hey you, keep living. It won't always be this overwhelming."
anxiety,"No one’s comfort is more important than my peace of mind and well-being, and I need to stop feeling guilty about that."
anxiety,"Your anxiety may be a part of you, but it does not in any way define who you are. No matter what, you’re going to be okay and know that it will not defeat you."
anxiety,"I will accept any amount of monsters my mind wants to give to me, but I will not become a monster myself."
anxiety,You’re always haunted by the idea you’re wasting your life.
anxiety,"You get a strange feeling when you’re about to leave a place. Like you’ll not only miss the people you love but you’ll miss the person you are now at this time and this place, because you’ll never be this way ever again."
anxiety,"If I think back, I get depressed. If I think ahead, I get afraid."
anxiety,"Did you know that as humans, we are wired to focus on the negative? Our brains are naturally drawn to see the bad."
anxiety,Anxiety is wanting to fix something that isn’t even a problem.
depression,Depression is something many people (myself included) struggle with either chronically or periodically throughout life. 
depression,There is nothing more depressing than having it all and still feeling sad.
depression,For me one of the hardest parts is when depression comes back full force
depression,The worst kind of sad is not being able to explain why.
depression,It sucks because I was getting better and now I’m not. 
depression,"We hide to try our feelings, but we forget that out eyes speak."
depression,Mental pain is less dramatic than physical pain
depression,The frequent attempt to conceal mental pain increase the burden
depression,What they don’t tell you about depression is that sometimes it feels a lot less like sadness and a lot more like the emotional equivalent of watching paint dry
depression,"The real fear of depression isn’t dying, it’s living with yourself, forever"
depression,"I was so scared to give up depression, fearing that somehow the worst part of me was actually all of me"
depression,The only thing more exhausting than being depressed is pretending that you’re not.
depression,"I’ll take one depression, on the rocks"
depression,Sometimes I just think depression’s one way of coping with the world
depression,"Like, some people get drunk, some people do drugs, some people get depressed"
depression,will depression give you a foot rub?
depression,"The broken will always be able to love harder than most because once you’ve been in the dark, you learn to appreciate everything that shines."
depression,"In addition to my other numerous acquaintances, I have one more intimate confidant"
depression,"My depression is the most faithful mistress I have known—no wonder, then, that I return the love"
depression,"Before you diagnose yourself with depression or low self-esteem, first make sure that you are not, in fact, just surrounded by a**holes"
depression,"well, that’s depressing"
depression,"Our Generation has had no Great war, no Great Depression. Our war is spiritual. Our depression is our lives"
depression,Are you of the depression generation
depression,"If you can’t survive tomorrow, just survive today"
depression,"that’s the thing about depression: A human being can survive almost anything, as long as she sees the end in sight"
depression,"But depression is so insidious, and it compounds daily, that it’s impossible to ever see the end. The fog is like a cage without a key"
depression,My mental health problems are real and they are valid
depression,I will not judge myself for the bad days when I can barely get out of bed. 
depression,I will not make myself feel worse because someone else appears to be handling their mental illness better than I am handling mine. Recovery is not a competition
depression,Not sure how to start recovering
depression,am in that temper that if I were under water I would scarcely kick to come to the top
depression,"To those struggling with anxiety, OCD, depression: I know it’s mad annoying when people tell you to exercise, and it took me about 16 medicated years to listen"
depression,"If you know someone who’s depressed, please resolve never to ask them why"
depression,"Depression isn’t a straightforward response to a bad situation; depression just is, like the weather"
depression,"This is my depressed stance. When you’re depressed, it makes a lot of difference how you stand"
depression,The worst thing you can do is straighten up and hold your head high because then you’ll start to feel better.
depression,"If you’re going to get any joy out of being depressed, you’ve got to stand like this"
depression,it is very hard to explain to people who have never known serious depression 
depression,How can I be depressed? Watch me.
depression,Being sad and being depressed are two different things
depression,"Also, people going through depression don’t look so, while someone sad will look sad"
depression,"The most common reaction is, ‘How can you be depressed?"
depression,You cannot get better from depression
depression,Getting better from depression demands a lifelong commitment.
depression,Depression is like a war—you either win or die trying
depression,"Hello darkness, my old friend…"
depression,Because that’s the thing about depression
depression,"When I feel it deeply, I don’t want to let it go"
depression,I want to cloak myself under its heavy weight and breathe it into my lungs
depression,"I want to nurture it, grow it, cultivate it. It’s mine."
depression,"I want to check out with it, drift asleep wrapped in its arms and not wake up for a long, long time"
depression,"Mental pain is less dramatic than physical pain, but it is more common and also more hard to bear"
depression,The frequent attempt to conceal mental pain increases the burden: It is easier to say ‘My tooth is aching’ than to say ‘My heart is broken
depression,"depression, whether an illness affects your heart, your arm, or your brain, it’s still an illness"
depression,We don’t consider taking medication for an ear infection something to be ashamed of.
depression,"We shouldn’t treat mental health conditions any differently. Instead, we should make it clear that getting help isn’t a sign of weakness"
depression,"If you are depressed, you are living in the past"
depression,didn't want to wake up
depression,"if you know someone who’s depressed, please resolve never to ask them why. "
depression,Depression isn’t a straightforward response to a bad situation
depression,"depression just is, like the weather."
depression,I have depression. But I prefer to say “I battle” depression instead of “I suffer” with it.
depression," Because depression hits, but I hit back. Battle on"
depression,depression is like being scared and tired at the same time
depression,depression is being colorblind and constantly told how colorful the world is
depression,When you suffer from depression “I’m tired” means a permanent state of exhaustion that sleep doesn’t fix
depression,"whenever I have a good few months and I think I’ve gotten over the worst on my depression, it silently returns"
depression,This isn’t a battle I asked to fight. I’m tired of knowing it’s always coming back
depression,I wanted to write down exactly what I felt but somehow the paper stayed empty and I could not have described it any better
depression,"No one realizes how strong someone with depression has to be just to do daily stuff like shower, brush hair or get out of bed."
depression,today my forest is dark. The trees are sad and all the butterflies have broken wings
